MSOA21CD,n_oas,n_diff,disagree_pct
E02000745,24,3,12.5
E02000746,28,1,3.571428571428571
E02000747,45,2,4.444444444444445
E02000748,20,1,5.0
E02000749,22,2,9.090909090909092
E02000751,33,4,12.121212121212121
E02000752,25,7,28.000000000000004
E02000753,19,2,10.526315789473683
E02000754,20,6,30.0
E02000755,17,4,23.52941176470588
E02000756,40,5,12.5
E02000757,40,4,10.0
E02000758,19,0,0.0
E02000759,36,5,13.88888888888889
E02000760,20,0,0.0
E02000762,16,1,6.25
E02000763,19,0,0.0
E02000764,42,13,30.952380952380953
E02000765,19,0,0.0
E02000767,21,1,4.761904761904762
E02000768,19,0,0.0
E02000770,19,0,0.0
E02000772,21,0,0.0
E02000773,25,0,0.0
E02000774,18,1,5.555555555555555
E02000776,18,0,0.0
E02000777,18,3,16.666666666666664
E02000779,20,2,10.0
E02000781,36,0,0.0
E02000782,28,1,3.571428571428571
E02000783,20,1,5.0
E02000784,33,4,12.121212121212121
E02000785,34,8,23.52941176470588
E02000786,38,5,13.157894736842104
E02000787,37,3,8.108108108108109
E02000788,28,2,7.142857142857142
E02000789,23,5,21.73913043478261
E02000790,20,2,10.0
E02000791,24,5,20.833333333333336
E02000792,25,8,32.0
E02000793,24,2,8.333333333333332
E02000794,20,3,15.0
E02000795,20,1,5.0
E02000796,31,3,9.67741935483871
E02000797,24,1,4.166666666666666
E02000798,34,5,14.705882352941178
E02000799,20,1,5.0
E02000800,17,2,11.76470588235294
E02000801,22,4,18.181818181818183
E02000802,22,3,13.636363636363635
E02000803,32,1,3.125
E02000804,24,4,16.666666666666664
E02000805,35,4,11.428571428571429
E02000806,32,3,9.375
E02000807,27,3,11.11111111111111
E02000808,35,0,0.0
E02000810,38,0,0.0
E02000812,33,0,0.0
E02000813,32,0,0.0
E02000814,33,1,3.0303030303030303
E02000815,24,0,0.0
E02000816,31,2,6.451612903225806
E02000817,22,0,0.0
E02000818,34,1,2.941176470588235
E02000819,28,0,0.0
E02000820,32,1,3.125
E02000821,26,2,7.6923076923076925
E02000822,24,2,8.333333333333332
E02000823,27,2,7.4074074074074066
E02000824,26,0,0.0
E02000825,32,0,0.0
E02000826,27,2,7.4074074074074066
E02000827,33,1,3.0303030303030303
E02000828,27,1,3.7037037037037033
E02000829,30,1,3.3333333333333335
E02000830,26,6,23.076923076923077
E02000831,29,5,17.24137931034483
E02000832,28,1,3.571428571428571
E02000833,25,4,16.0
E02000834,29,7,24.137931034482758
E02000835,22,0,0.0
E02000836,25,0,0.0
E02000837,23,0,0.0
E02000838,27,1,3.7037037037037033
E02000839,27,5,18.51851851851852
E02000840,28,8,28.57142857142857
E02000841,26,11,42.30769230769231
E02000842,23,5,21.73913043478261
E02000843,29,4,13.793103448275861
E02000844,25,4,16.0
E02000845,26,4,15.384615384615385
E02000846,21,2,9.523809523809524
E02000847,27,5,18.51851851851852
E02000848,22,6,27.27272727272727
E02000849,25,3,12.0
E02000850,32,4,12.5
E02000851,37,3,8.108108108108109
E02000852,26,6,23.076923076923077
E02000853,25,3,12.0
E02000854,23,6,26.08695652173913
E02000855,24,5,20.833333333333336
E02000856,29,1,3.4482758620689653
E02000857,33,5,15.151515151515152
E02000858,25,4,16.0
E02000859,28,2,7.142857142857142
E02000860,30,4,13.333333333333334
E02000861,23,2,8.695652173913043
E02000863,20,1,5.0
E02000864,37,1,2.7027027027027026
E02000865,24,2,8.333333333333332
E02000866,28,3,10.714285714285714
E02000867,35,2,5.714285714285714
E02000868,19,1,5.263157894736842
E02000869,19,0,0.0
E02000870,20,0,0.0
E02000871,33,2,6.0606060606060606
E02000872,24,1,4.166666666666666
E02000873,26,1,3.8461538461538463
E02000874,24,3,12.5
E02000875,39,0,0.0
E02000876,19,2,10.526315789473683
E02000877,35,0,0.0
E02000878,28,2,7.142857142857142
E02000879,22,0,0.0
E02000880,19,1,5.263157894736842
E02000881,29,1,3.4482758620689653
E02000882,32,0,0.0
E02000883,25,0,0.0
E02000884,38,2,5.263157894736842
E02000885,17,0,0.0
E02000886,28,2,7.142857142857142
E02000887,30,0,0.0
E02000888,28,0,0.0
E02000889,30,1,3.3333333333333335
E02000890,22,0,0.0
E02000893,23,0,0.0
E02000894,35,1,2.857142857142857
E02000895,25,3,12.0
E02000896,29,2,6.896551724137931
E02000897,25,5,20.0
E02000898,24,3,12.5
E02000899,24,9,37.5
E02000900,24,4,16.666666666666664
E02000901,29,8,27.586206896551722
E02000902,27,0,0.0
